Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,hit_ratio,range of hit_ratio,,class_PFAA
622,O=S(=O)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 35941647 104111782  17313015 ...  25029786 107222071  24766088],PFAAs,PFSA derivatives,,10,,10
623,O=c1cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC(=O)OC2=C3CCCN4CCCC(C=C12)=C34,[250618452  33988699   6003371 ...  69892559  37515159  43041114],Other PFASs,Aromatic PFASs,,10,,12
624,FC(F)(F)C(F)(c1ccc(I)cc1)C(F)(F)F,FC(F)(F)C(F)(C1=CC=C(I)C=C1)C(F)(F)F,[189801595  17872842 232751249 ... 611624164  94767431 261466434],Other PFASs,Aromatic PFASs,,10,,12
625,C=C(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 101696305  18439196 ...  15279529  43796935 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
626,C=CC(=O)OCCC(F)(F)F,"FC(F)(F)CCOC(=O)C=C |lp:0:3,2:3,3:3,6:2,8:2,Sg:n:3,0,1::ht|",[ 19469312  85244370 232751249 ... 291378977 290865607 200050070],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
627,O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
628,CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
629,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 35941647 104111782  97181807 ... 413328262 128847015  46460802],PFAA precursors,n:1 FTOHs,,10,,12
630,O=S(CCO)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  49018156  17313015 ... 150140690 281920279 151237944],Other PFASs,others,,10,,12
631,Nc1ccc(OCC(F)(F)C(F)(F)C(F)(F)F)cc1,NC1=CC=C(OCC(F)(F)C(F)(F)C(F)(F)F)C=C1,[ 35941647  73299756 107816900 ... 482241014 111393351  46460802],Other PFASs,Aromatic PFASs,,10,,12
632,N#CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOCCC#N,[ 82390440 104111782  97181807 ... 400516145 281920279 151237944],Other PFASs,others,,10,,12
633,FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[H]C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  12884121 ... 212683906  47146439 261466434],PFAA precursors,HFEs,,10,,12
634,Cn1c(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2ccccc21,CN1C(=CC2=CC=CC=C12)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 68296518  39139378  63689098 ... 188504355 158576135 107724166],Other PFASs,Aromatic PFASs,,10,,12
635,CCO[Si](CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,CCO[Si](CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,[ 39844693   8492060  14316170 ... 194511214 166016711 151237944],Other PFASs,Si PFASs,,10,,12
636,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccccc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=CC=C1,[115611454 104111782  26425151 ... 162895639 281920279  29516144],Other PFASs,Aromatic PFASs,,10,,12
637,N=C(/N=C(\N)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,N\C(=N/C(=N)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,[237966654  68287699 107816900 ... 296656220 281920279  54969806],Other PFASs,others,,10,,12
638,CC(C)(O)C#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(O)C#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[109264537 104111782  97181807 ...  78481900  92402919 151237944],Other PFASs,others,,10,,12
639,CC(C)OP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(C)C,CC(C)OP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(C)C,[113638662  71278405  95504826 ...  72874746  43796935  39295824],Other PFASs,others,,10,,12
640,O=C(Nc1ccc2ccccc2c1)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=CC2=CC=CC=C2C=C1,[242601795   8492060  63689098 ...  24068083 100272231 151237944],Other PFASs,Aromatic PFASs,,10,,12
641,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)P(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)P(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  81398811  42493806 ...  31057643 126736119  36485220],Other PFASs,others,,10,,12
642,CC(C)(C)C(=O)CC(=O)C(F)(F)OC(F)(F)F,CC(C)(C)C(=O)CC(=O)C(F)(F)OC(F)(F)F,[ 68998356 493014236 312820385 ... 523579649 101296679  70269816],PFAA precursors,PFAK derivatives,,10,,12
643,CCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
644,O=C(O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,OC(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,[   853465   9635651  20760171 ...  37687752  69108455 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
645,C=CCC(C(=O)OC)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)C(CC=C)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,[170412662 505728944  92943922 ...  92201024 112541287 102776604],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
646,CCCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699  17313015 ... 133635739 138388023 151237944],PFAA precursors,PASF-based substances,,10,,12
647,OCC(O)COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(O)COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  44473385 ...  15634821  33758967 151237944],PFAA precursors,PolyFEACs,,10,,12
648,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
649,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,[235162622 104111782  63064138 ...  53870161 281920279 151237944],PFAA precursors,PFAIs,,10,,12
650,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CI,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CI,[250618452 104111782  97181807 ... 611624164 281920279 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
651,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  60964968 ...  65874932  51467815 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
652,CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
653,FC(F)(F)C(F)(c1ccnc(Cl)c1)C(F)(F)F,FC(F)(F)C(F)(C1=CC=NC(Cl)=C1)C(F)(F)F,[ 56282065  72011329 145399841 ...  17799215  94767431 261466434],Other PFASs,Aromatic PFASs,,10,,12
654,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,[I-].FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,[239141279 104111782  97181807 ...  72876816  43796935  92922732],Other PFASs,Aromatic PFASs,,10,,12
655,O=C=Nc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(C=C1)N=C=O,[250618452 104111782  97181807 ... 321796966 111393351  40215408],Other PFASs,Aromatic PFASs,,10,,12
656,FC(F)(F)C1(F)OC(F)(OC(F)(C(F)(F)F)C(F)(OC2(F)OC(F)(C(F)(F)F)C(F)(F)OC2(F)C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)OC1(F)F,FC(F)(F)C(F)(OC1(F)OC(F)(C(F)(F)F)C(F)(F)OC1(F)C(F)(F)F)C(F)(OC1(F)OC(F)(C(F)(F)F)C(F)(F)OC1(F)C(F)(F)F)C(F)(F)F,[   853465   2166399  22848942 ...  55646229  69108455 261466434],"Other PFASs, cyclic","Perfluoroalkylethers, cyclic",,10,,12
657,O=C1OC(F)(C(F)(C(F)(F)F)C(F)(F)F)c2c(F)c(F)c(F)c(F)c21,FC1=C2C(=O)OC(F)(C2=C(F)C(F)=C1F)C(F)(C(F)(F)F)C(F)(F)F,[ 39207428 190309893  78177578 ...  74312918  86524023 169374042],Other PFASs,Aromatic PFASs,,10,,12
658,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,[ 19469312  85244370  18439196 ...  15279529  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
659,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 286019159 240371511 151237944],PFAA precursors,HFCs,,10,,12
660,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 171882282  43796935  10360726],PFAA precursors,PolyFACs,,10,,12
661,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCBr,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCBr,[250618452 104111782  97181807 ...  16631887  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
662,CC(COCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(C)COCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(COCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(C)COCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[113638662  48133235  97181807 ... 171882282  43796935 151237944],PFAA precursors,PolyFEACs,,10,,12
663,C#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C#C,[109264537 104111782  97181807 ...  78481900 281920279 143044428],Other PFASs,others,,10,,12
664,C=CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OCC=C,[ 19469312 104111782  87855067 ...   1095206  99703927  88906274],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
665,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  93199687  97181807 ...  58849484  52429719 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
666,O=P(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[245734716  71278405  42493806 ...  31057643 126736119  49392212],PFAAs,PFPAs,,10,,7
667,OCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  32511046  97181807 ... 611624164 269218407  98778836],PFAA precursors,PolyFEACs,,10,,12
668,O=c1c(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1=O,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)NC1=C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C1=O,[250618452  49322122  17313015 ... 136323818  21938087  29302852],Other PFASs,Aromatic PFASs,,10,,12
669,CCC12COC(C(F)(F)C(F)(F)C(F)(F)F)(OC1)OC2,CCC12COC(OC1)(OC2)C(F)(F)C(F)(F)C(F)(F)F,[250618452  35923578 107816900 ... 469179402  87146279 151237944],"PFAA precursors, cyclic","HFEs, cyclic",,10,,12
670,Oc1ccc(Br)cc1CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OC1=CC=C(Br)C=C1CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[35069210 36123943 84382633 ... 16631887 43796935 39493208],Other PFASs,Aromatic PFASs,,10,,12
671,O=C(CCCCCc1nc2ccccc2[nH]1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)CCCCCC1=NC2=CC=CC=C2N1,[250618452 104111782  45691652 ... 200578621    310759  93860188],Other PFASs,Aromatic PFASs,,10,,12
672,O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F)C(F)(F)F,[K+].[O-]C(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F)C(F)(F)F,[   853465 205622229 107816900 ... 189837130  94972823  50610154],PFAAs,PFECAs,,10,,2
673,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[NH4+].[NH4+].[O-]P([O-])(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
674,CCCCCCCCCCCCCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 245019154  87855067 ... 200578621 114499767 151237944],PFAAs,PFCA-ester derivatives,,10,,8
675,COCC(F)(F)C(F)(F)C(F)(F)F,COCC(F)(F)C(F)(F)C(F)(F)F,[ 35941647  73299756 107816900 ... 490793965 281920279  46460802],PFAA precursors,HFEs,,10,,12
676,CC(=O)Oc1cc(Cl)ccc1CC(Cl)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)OC1=C(CC(Cl)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=CC(Cl)=C1,[ 96097231 104111782  97181807 ...  25560912   2232375 148292812],Other PFASs,Aromatic PFASs,,10,,12
677,NS(=O)(=O)c1ccc(CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,NS(=O)(=O)C1=CC=C(CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[ 39844693   8492060  17313015 ... 162815185 138646903   4054412],Other PFASs,Aromatic PFASs,,10,,12
678,O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,[ 61332433  71013085  17313015 ... 242954790 101031895 151237944],Polyfluoroalkyl acids,PolyFESAs,,10,,12
679,FC(F)(F)C(C1OC(F)(F)C(F)(F)C1(F)F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(C1OC(F)(F)C(F)(F)C1(F)F)(C(F)(F)F)C(F)(F)F,[ 44366530 134865258  92943922 ...  64988140 101296679 151237944],"PFAA precursors, cyclic","HFEs, cyclic",,10,,12
680,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465  90791381 107816900 ... 425465516  23638503  71007262],PFAA precursors,HFEs,,10,,12
681,CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 87672194 104111782  97181807 ... 218510692 281920279 151237944],PFAA precursors,HFEs,,10,,12
682,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 21375283  33988699  17313015 ... 136323818 138388023 151237944],PFAA precursors,PASF-based substances,,10,,12
683,CCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
684,OC/C=C\C(F)(C(F)(F)F)C(F)(F)F,OC\C=C/C(F)(C(F)(F)F)C(F)(F)F,[ 57942891 698017886 161177566 ...  73265823  71400647 261466434],PFAA precursors,PolyFAC derivatives,,10,,12
685,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[Na+].CCN(CC([O-])=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818 138388023 110011752],PFAA precursors,PASF-based substances,,10,,12
686,O=C(O)/C=C\C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)\C=C/C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  18439196 ...  15279529  43796935  61410270],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
687,CCSC(SCC)C(F)(F)C(F)(F)C(F)(F)F,CCSC(SCC)C(F)(F)C(F)(F)C(F)(F)F,[250618452  45861482  17657756 ...  52379620 281920279 151237944],Other PFASs,others,,10,,12
688,CNCC(F)(F)C(F)(F)C(F)(F)F,CNCC(F)(F)C(F)(F)C(F)(F)F,[ 90865072  33988699 107816900 ...  73659970 281920279 130467758],Other PFASs,others,,10,,12
689,CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
690,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Sn](Br)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Sn](Br)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  12928719  82667786 ...  21131108 224856263 151237944],Other PFASs,others,,10,,12
691,C=CCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CC=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818 138388023  45422808],PFAA precursors,PASF-based substances,,10,,12
692,NS(=O)(=O)c1ccc(CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,NS(=O)(=O)C1=CC=C(CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[ 39844693   8492060  17313015 ... 162815185 138646903   4054412],Other PFASs,Aromatic PFASs,,10,,12
